task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward,model_cpt
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,1,linear,630,5,128,1.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_630-128-5x128_mem1_bs128_regular_bptt-3_from_cpt_5-5_eval_chunked/run_1,False,,False,,0,2.932858943939209,,-1,3,False,False,../runs/lm_long/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_630-128-5x128_mem1_bs32_regular_bptt-3_from_cpt_4-5_chunked/run_1
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,8,4,linear,108,2,64,5.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/lr5e-05_linear_adamw_wd1e-03_108-64-2x64_mem5_bs32_iters10000_regular_bptt-2/run_1,False,,False,,10000,5.084059238433838,,-1,2,False,True,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,32,4,linear,118,1,128,5.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_118-128-1x128_mem5_bs128_regular_bptt-2_from_cpt_5-1_eval_segm_valid/run_3,False,,False,,0,3.0669195652008057,,-1,2,False,False,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_590-128-5x128_mem5_bs32_regular_bptt-2_from_cpt_4-5_segm_valid/run_3
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,2,4,linear,1008,8,128,1.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_1008-128-8x128_mem1_bs128_regular_bptt-4_from_cpt_5-8_eval_segm_valid/run_2,False,,False,,0,2.9188952445983887,,-1,4,False,False,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_630-128-5x128_mem1_bs32_regular_bptt-4_from_cpt_4-5_segm_valid/run_2
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,2,2,linear,1008,8,128,1.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_1008-128-8x128_mem1_bs128_regular_bptt-4_from_cpt_5-8_eval_segm_valid/run_1,False,,False,,0,2.9236652851104736,,-1,4,False,False,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_630-128-5x128_mem1_bs32_regular_bptt-4_from_cpt_4-5_segm_valid/run_1
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,1,4,linear,1260,10,128,1.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_1260-128-10x128_mem1_bs128_regular_bptt-4_from_cpt_6-10_eval_segm_valid/run_2,False,,False,,0,2.92169451713562,,-1,4,False,False,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_756-128-6x128_mem1_bs32_regular_bptt-4_from_cpt_5-6_segm_valid/run_2
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,4,linear,590,5,128,5.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_590-128-5x128_mem5_bs128_regular_bptt-2_from_cpt_5-5_eval_segm_valid/run_3,False,,False,,0,2.9322023391723633,,-1,2,False,False,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_590-128-5x128_mem5_bs32_regular_bptt-2_from_cpt_4-5_segm_valid/run_3
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,0.0001,32,1,linear,252,2,128,1.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/lr1e-04_linear_adamw_wd1e-03_252-128-2x128_mem1_bs32_iters10000_regular_bptt-4_lora_freeze_from_cpt/run_1,False,,False,,10000,2.896317481994629,,-1,4,True,False,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_126-128-1x128_mem1_bs32_regular_bptt-4_from_cpt_0-1_segm_valid/run_1
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,2,4,linear,1062,9,128,5.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_1062-128-9x128_mem5_bs128_regular_bptt-3_from_cpt_3-9_eval_segm_valid/run_1,False,,False,,0,4.619884490966797,,-1,3,False,False,../runs/lm_long/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_354-128-3x128_mem5_bs32_regular_bptt-3_from_cpt_2-3_segm_valid/run_1
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,4,linear,246,1,256,5.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_246-256-1x256_mem5_bs32_iters10000_regular_bptt-1/run_1,False,,False,,10000,2.8332207202911377,,-1,1,False,True,
